,İLAN ADI,MAHALLE,FİYAT,NET(m²),BRÜT(m²),ODA-SALON SAYISI,ODA SAYISI,SALON SAYISI,BANYO SAYISI,FOTOĞRAF SAYISI,BİNA KAT SAYISI,BULUNDUĞU KAT,YAPI DURUMU,ISITMA,BİNA YAŞI,AİDAT,KİRA GETİRİSİ
0,BOSTANCI'DA MERKEZİ KONUMDA 3+1 FERAH ARAKAT DAİRE,Bostancı,5.100.000,85,110,3+1,3,1,2,36,5,4,İkinci El,Merkezi Sistem,31-35 arası,0,0
1,Erenköy Nimet Ekşioğlu Sokak Satılık 3+1 Daire,Erenköy,7.800.000,110,145,3+1,3,1,2,29,10-20 arası,7,,Kombi (Doğalgaz),21-25 arası,500,0
2,KOZYATAĞININ EN NEZİH BÖLGESİNDE SINIRLI SAYIDA DAİREMİZ KALDI,Kozyatağı,5.350.000,97,110,3+1,3,1,2,13,10-20 arası,8,,Klima,0,0,0
3,"BOSTANCI SAHİLDE ÖNÜ KAPANMAZ 160 M2, 4+1 SATILIK DAİRE",Bostancı,9.950.000,130,160,4+1,4,1,2,27,3,3,İkinci El,Kombi (Doğalgaz),40 ve üzeri,250,
4,FENERYOLU'NDA 3 YILLIK İSKANLI 200m2 TERASLI DUBLEKS SATILIK 3+1,Feneryolu,8.500.000,160,200,3+1,3,1,2,31,9,9,İkinci El,Kombi (Doğalgaz),3,200,25.000
5,ÇİFTEHAVUZLAR'DA 175M2 3 BALKONLU ASANSÖRLÜ OTOPARKLI MASRAFSIZ,Göztepe,8.750.000,140,170,4+1,4,1,2,31,10-20 arası,4,İkinci El,Merkezi Sistem,21-25 arası,,
6,Feneryolu Yazıcıbaşı Sokak Kamelya'ya Yakın 4+1 Daire,Feneryolu,12.500.000,173,220,4+1,4,1,1,26,8,3,İkinci El,Kombi (Doğalgaz),11-15 arası,0,0
7,Fenerbahçe Ayanoğlu Bağdat Cad. Yakın Katta Tek Geniş Balkon,Fenerbahçe,25.000.000,200,250,4+1,4,1,3,26,9,9,Sıfır,Kombi (Doğalgaz),0,0,0
8,2+1 Yeni Sıfır Ziverbey Müjdat Gezen KarşısıCaddeye 2. Bina,Eğitim,3.795.000,70,90,2+1,2,1,2,26,8,7,Yapım Aşamasında,Kombi (Doğalgaz),0,0,0
9,KOZYATAĞINDA 3+1 KOZZY AVM YAKIN 110M2 NET,Kozyatağı,4.765.000,110,140,3+1,3,1,1,21,9,4,İkinci El,Merkezi Sistem (Isı Payı Ölçer),31-35 arası,,
10,KOZYATAĞINDA YENİ BİNADA HAVUZLU 3+1 100M2 NET,Kozyatağı,7.395.000,110,130,3+1,3,1,2,31,10-20 arası,12,İkinci El,Merkezi Sistem (Isı Payı Ölçer),3,,
11,ALKAYA-YETKİLİ-SUADİYE'DE SATILIK 3+1 DAİRE HAVUZLU/YEŞİL ALANLI,Suadiye,7.250.000,94,130,3+1,3,1,2,31,10-20 arası,11,,Klima,3,420,0
12,Göztepe Bağdat Caddesi Yakın Konumda Balkonlu 3+1,Göztepe,7.395.000,120,150,3+1,3,1,2,18,7,6,İkinci El,Merkezi Sistem,31-35 arası,0,0
13,.HASTANE KARŞISI CADDE ÜZERİ SIFIR 150M2 İŞYERİNE KONUTA,Feneryolu,6.200.000,110,150,3+1,3,1,2,16,9,1,Sıfır,Kombi (Doğalgaz),0,,
14,"ANADOLU YAKASININ MERKEZİ KADIKÖY HASAN PAŞA' da SATILIK 1+1,5",Hasanpaşa,2.580.000,62,70,1+1,1,1,1,31,3,2,İkinci El,Kombi (Doğalgaz),26-30 arası,0,0
15,KALAMIŞTA SATILIK EŞSİZ YALI DAİRESİ,Fenerbahçe,22.900.000,180,200,4+1,4,1,1,32,3,2,İkinci El,Kombi (Doğalgaz),40 ve üzeri,,
16,Kadıköy Feneryolu'da Satılık Daire,Feneryolu,6.950.000,120,150,3+1,3,1,2,14,10,3,İkinci El,Merkezi Sistem,26-30 arası,,17.000
17,KOZZY'YE YAKIN MODERN VE ÖZEL YAPIM SATILIK ÇATI DUBLEKSİ,Kozyatağı,8.500.000,210,250,3+2,3,2,3,31,3,3,İkinci El,Kombi (Doğalgaz),16-20 arası,,
18,Göztepe Marmaray'a 140 metre Mesafede Satılık 3+1 Daire,Göztepe,4.400.000,120,135,3+1,3,1,1,12,9,9,,Merkezi Sistem,31-35 arası,250,0
19,Caddebostan Sahil Deniz Manzaralı Teraslı Dubleks Daire,Caddebostan,24.750.000,260,330,5+2,5,2,3,24,10-20 arası,13,İkinci El,Merkezi Sistem (Isı Payı Ölçer),4,0,0
20,Suadiye /Bağdat Caddesi 3+1 Özel Tasarımlı Satılık Daire,Suadiye,14.500.000,176,200,3+1,3,1,2,33,4,Kot 2,İkinci El,Merkezi Sistem,31-35 arası,1.200,
21,ERENKÖY BAĞDATA YÜRÜME MESAFESİNDE 4 YILLIK YENİ 110M2,Erenköy,5.450.000,90,115,2+1,2,1,2,18,3,2,İkinci El,Kombi (Doğalgaz),4,,
22,"Merdivenköy & Medical Park Arkası, Yüksek Giriş, 3+1 Fırsat",Merdivenköy,2.495.000,70,90,3+1,3,1,1,13,5,Yüksek Giriş,,Kombi (Doğalgaz),11-15 arası,150,
23,GÖZTEPE'DE 3 YILLIK 90M2 MİNİBÜSE VE MARMARAYA YAKIN ULTRA LÜKS,Göztepe,5.750.000,70,90,2+1,2,1,1,11,10,7,İkinci El,Kombi (Doğalgaz),3,,
24,Kadıköy Caddebostan'da  Kiracılı Satılık Daire,Caddebostan,8.750.000,105,135,3+1,3,1,2,,,,,,,,
25,BOSTANCI GÖSTERİ MERKEZİNE KOMŞU 175M2 4+1 SATILIK YATIRIMLIK..,Bostancı,5.250.000,145,175,4+1,4,1,2,9,7,2,İkinci El,Merkezi Sistem,26-30 arası,0,8.000
26,KADIKÖY OSMANAĞA'DA YÜKSEK YATIRIM DEĞERLİ ÜST KAT 1+1 SATILIK F,Osmanağa,3.000.000,65,75,1+1,1,1,1,8,5,5,İkinci El,Kombi (Doğalgaz),40 ve üzeri,,
27,GÖZTEPEDE YEŞİLLİKLER İÇİNDE SATILIK DAİRE,Göztepe,5.900.000,90,105,3+1,3,1,1,,,Bahçe katı,İkinci El,Merkezi Sistem (Isı Payı Ölçer),40 ve üzeri,,
28,MODA SAHİLE 1 DAKİKA 220m2 İSKANLI BALKONLU 1.KAT SATILIK 4+1,Caferağa,6.400.000,200,220,4+1,4,1,2,31,4,1,İkinci El,Merkezi Sistem,31-35 arası,500,20.000
